x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.8775510204081632,0.10204081632653061,-0.6133739771870743,-0.6483863016260234,0.04,5.71
-0.8775510204081632,0.14285714285714285,-0.5861106018173778,-0.6220707358328585,0.04,6.14
-0.8775510204081632,0.1836734693877551,-0.5524390628311916,-0.5869833147753063,0.03,6.25
-0.8775510204081632,0.22448979591836735,-0.5138142775235864,-0.5431240384533653,0.03,5.7
-0.8775510204081632,0.2653061224489796,-0.46406213945739505,-0.490492906867037,0.03,5.7
-0.8775510204081632,0.30612244897959184,-0.40469308327065184,-0.4290899200163192,0.02,6.03
-0.8775510204081632,0.3469387755102041,-0.3364058474237437,-0.3589150779012139,0.02,6.69
-0.8775510204081632,0.3877551020408163,-0.26525573561310456,-0.27996838052172196,0.01,5.55
-0.8775510204081632,0.42857142857142855,-0.18131532264303898,-0.19224982787784067,0.01,6.03
-0.8775510204081632,0.46938775510204084,-0.08990014351671059,-0.0957594199695703,0.01,6.52
-0.8367346938775511,-0.5102040816326531,0.06484738074322839,0.06760788446990622,0.0,4.26
-0.8367346938775511,-0.46938775510204084,-0.030401985713155454,-0.032758459485418626,0.0,7.75
-0.8367346938775511,-0.42857142857142855,-0.11804919255889901,-0.12476094144446596,0.01,5.69
-0.8367346938775511,-0.3877551020408163,-0.1957521950763512,-0.20839956140723717,0.01,6.46
-0.8367346938775511,-0.3469387755102041,-0.27142175366584576,-0.28367431937373033,0.01,4.51
-0.8367346938775511,-0.30612244897959184,-0.3332855076151556,-0.3505852153439461,0.02,5.19
-0.8367346938775511,-0.2653061224489796,-0.38899720739910837,-0.4091322493178869,0.02,5.18
-0.8367346938775511,-0.22448979591836735,-0.43347415033173486,-0.45931542129554925,0.03,5.96
-0.8367346938775511,-0.1836734693877551,-0.47185184785255574,-0.5011347312769341,0.03,6.21
-0.8367346938775511,-0.14285714285714285,-0.5070489178818935,-0.5345901792620421,0.03,5.43
-0.8367346938775511,-0.10204081632653061,-0.5292985928795895,-0.5596817652508735,0.03,5.74
-0.8367346938775511,-0.061224489795918366,-0.547242839859655,-0.5764094892434275,0.03,5.33
-0.8367346938775511,-0.02040816326530612,-0.5523042389453743,-0.5847733512397048,0.03,5.88
-0.8367346938775511,0.02040816326530612,-0.5527529417842313,-0.5847733512397048,0.03,5.79
-0.8367346938775511,0.061224489795918366,-0.5431352204850342,-0.5764094892434275,0.03,6.13
-0.8367346938775511,0.10204081632653061,-0.5327726343727999,-0.5596817652508735,0.03,5.05
-0.8367346938775511,0.14285714285714285,-0.5036806490943633,-0.5345901792620421,0.03,6.14
-0.8367346938775511,0.1836734693877551,-0.4737694433787759,-0.5011347312769341,0.03,5.78
-0.8367346938775511,0.22448979591836735,-0.4356944836478937,-0.45931542129554925,0.02,5.42
-0.8367346938775511,0.2653061224489796,-0.38781089306844707,-0.4091322493178869,0.02,5.5
-0.8367346938775511,0.30612244897959184,-0.3285956668450101,-0.3505852153439461,0.02,6.69
-0.8367346938775511,0.3469387755102041,-0.2677405603789749,-0.28367431937373033,0.02,5.95
-0.8367346938775511,0.3877551020408163,-0.19688046778549487,-0.20839956140723717,0.01,5.85
-0.8367346938775511,0.42857142857142855,-0.11993374898425883,-0.12476094144446596,0.0,4.02
-0.8367346938775511,0.46938775510204084,-0.030348319666732626,-0.032758459485418626,0.0,7.94
-0.8367346938775511,0.5102040816326531,0.06280170152215513,0.06760788446990622,0.0,7.65
-0.7959183673469388,-0.5918367346938775,0.3120932470393662,0.3321575194009306,0.02,6.43
-0.7959183673469388,-0.5510204081632653,0.208950266810781,0.2207753572066067,0.01,5.66
-0.7959183673469388,-0.5102040816326531,0.11184845995805184,0.11734906374044864,0.01,4.92
-0.7959183673469388,-0.46938775510204084,0.021520738537088975,0.02187863900245592,0.0,1.66
-0.7959183673469388,-0.42857142857142855,-0.061574181449119594,-0.0656359170073691,0.0,6.6
-0.7959183673469388,-0.3877551020408163,-0.13703564876237623,-0.14519460428902825,0.01,5.95
-0.7959183673469388,-0.3469387755102041,-0.20692845240392116,-0.21679742284252349,0.01,4.77
-0.7959183673469388,-0.30612244897959184,-0.2654547940262547,-0.28044437266785094,0.01,5.65
-0.7959183673469388,-0.2653061224489796,-0.31763716845853046,-0.3361354537650128,0.02,5.82
-0.7959183673469388,-0.22448979591836735,-0.35874276930165216,-0.3838706661340091,0.03,7.0
-0.7959183673469388,-0.1836734693877551,-0.40036039189656264,-0.4236500097748384,0.02,5.82
-0.7959183673469388,-0.14285714285714285,-0.43227360312506524,-0.45547348468750265,0.02,5.37
-0.7959183673469388,-0.10204081632653061,-0.4540558740262496,-0.4793410908720003,0.03,5.57
-0.7959183673469388,-0.061224489795918366,-0.4652483842269267,-0.4952528283283326,0.03,6.45
-0.7959183673469388,-0.02040816326530612,-0.47736691963638994,-0.5032086970564985,0.03,5.41
-0.7959183673469388,0.02040816326530612,-0.4754686819313957,-0.5032086970564985,0.03,5.83
-0.7959183673469388,0.061224489795918366,-0.46904197034564576,-0.4952528283283326,0.03,5.59
-0.7959183673469388,0.10204081632653061,-0.45130726033543295,-0.4793410908720003,0.03,6.21
-0.7959183673469388,0.14285714285714285,-0.4349184337187405,-0.45547348468750265,0.02,4.73
-0.7959183673469388,0.1836734693877551,-0.4019468459878651,-0.4236500097748384,0.02,5.4
-0.7959183673469388,0.22448979591836735,-0.36140733483724086,-0.3838706661340091,0.02,6.22
-0.7959183673469388,0.2653061224489796,-0.31653379114186475,-0.3361354537650128,0.02,6.19
-0.7959183673469388,0.30612244897959184,-0.2660001340988076,-0.28044437266785094,0.01,5.43
-0.7959183673469388,0.3469387755102041,-0.20550817506973168,-0.21679742284252349,0.01,5.49
-0.7959183673469388,0.3877551020408163,-0.13751608446252414,-0.14519460428902825,0.01,5.58
-0.7959183673469388,0.42857142857142855,-0.06144580361531515,-0.0656359170073691,0.0,6.82
-0.7959183673469388,0.46938775510204084,0.022105840252656866,0.02187863900245592,0.0,1.03
-0.7959183673469388,0.5102040816326531,0.11067109756081965,0.11734906374044864,0.01,6.03
-0.7959183673469388,0.5510204081632653,0.20820873063504056,0.2207753572066067,0.01,6.04
-0.7959183673469388,0.5918367346938775,0.3119115292873199,0.3321575194009306,0.02,6.49
-0.7551020408163265,-0.6326530612244898,0.44686581392486885,0.47614514360513,0.03,6.55
-0.7551020408163265,-0.5918367346938775,0.34545667616029313,0.36292701170430747,0.02,5.06
-0.7551020408163265,-0.5510204081632653,0.2438587082105926,0.25725675526353775,0.01,5.49
-0.7551020408163265,-0.5102040816326531,0.14908620188244853,0.15913437428282443,0.01,6.74
-0.7551020408163265,-0.46938775510204084,0.0656063059002254,0.06855986876216556,0.0,4.5
-0.7551020408163265,-0.42857142857142855,-0.012066202742789705,-0.014466761298438685,0.0,19.89
-0.7551020408163265,-0.3877551020408163,-0.085751471245109,-0.0899455158989878,0.0,4.89
-0.7551020408163265,-0.3469387755102041,-0.14715049124698074,-0.15787639503948134,0.01,7.29
-0.7551020408163265,-0.30612244897959184,-0.20805437171668856,-0.21825939871992042,0.01,4.9
-0.7551020408163265,-0.2653061224489796,-0.2574295714688686,-0.2710945269403054,0.01,5.31
-0.7551020408163265,-0.22448979591836735,-0.3003192358794015,-0.31638177970063514,0.02,5.35
-0.7551020408163265,-0.1836734693877551,-0.3382692592451482,-0.3541211570009091,0.02,4.69
-0.7551020408163265,-0.14285714285714285,-0.3634310880922638,-0.38431265884112886,0.02,5.75
-0.7551020408163265,-0.10204081632653061,-0.38862615098549724,-0.4069562852212937,0.02,4.72
-0.7551020408163265,-0.061224489795918366,-0.4017999712425658,-0.4220520361414035,0.02,5.04
-0.7551020408163265,-0.02040816326530612,-0.41004952788293336,-0.42959991160145855,0.02,4.77
-0.7551020408163265,0.02040816326530612,-0.40692524288107235,-0.42959991160145855,0.02,5.57
-0.7551020408163265,0.061224489795918366,-0.40411220660961555,-0.4220520361414035,0.02,4.44
-0.7551020408163265,0.10204081632653061,-0.3831298648964414,-0.4069562852212937,0.02,6.22
-0.7551020408163265,0.14285714285714285,-0.3608166315893331,-0.38431265884112886,0.02,6.51
-0.7551020408163265,0.1836734693877551,-0.33184372641195203,-0.3541211570009091,0.02,6.71
-0.7551020408163265,0.22448979591836735,-0.29490312455082124,-0.31638177970063514,0.02,7.28
-0.7551020408163265,0.2653061224489796,-0.25810196465132224,-0.2710945269403054,0.01,5.03
-0.7551020408163265,0.30612244897959184,-0.20914016011957154,-0.21825939871992042,0.01,4.36
-0.7551020408163265,0.3469387755102041,-0.1520706087240375,-0.15787639503948134,0.01,3.82
-0.7551020408163265,0.3877551020408163,-0.0844427671517377,-0.0899455158989878,0.01,6.52
-0.7551020408163265,0.42857142857142855,-0.01485161568923902,-0.014466761298438685,0.0,2.59
-0.7551020408163265,0.46938775510204084,0.06368885030245368,0.06855986876216556,0.0,7.65
-0.7551020408163265,0.5102040816326531,0.14884536713811966,0.15913437428282443,0.01,6.91
-0.7551020408163265,0.5510204081632653,0.24199446373148792,0.25725675526353775,0.02,6.31
-0.7551020408163265,0.5918367346938775,0.3443546450771829,0.36292701170430747,0.02,5.39
-0.7551020408163265,0.6326530612244898,0.4472854692261491,0.47614514360513,0.03,6.45
-0.7142857142857143,-0.673469387755102,0.5718085276908753,0.6074849764978884,0.04,6.24
-0.7142857142857143,-0.6326530612244898,0.4647725855134527,0.49324686142678664,0.03,6.13
-0.7142857142857143,-0.5918367346938775,0.36683477690805716,0.3861486285476289,0.02,5.27
-0.7142857142857143,-0.5510204081632653,0.2684913685528575,0.2861902778604147,0.02,6.59
-0.7142857142857143,-0.5102040816326531,0.18197176255464512,0.19337180936514548,0.01,6.26
-0.7142857142857143,-0.46938775510204084,0.10214679734991727,0.10769322306181935,0.01,5.43
-0.7142857142857143,-0.42857142857142855,0.027990801030617907,0.029154518950437344,0.0,4.16
-0.7142857142857143,-0.3877551020408163,-0.039378952252256204,-0.04224430296900076,0.0,7.28
-0.7142857142857143,-0.3469387755102041,-0.09909825678046016,-0.10650324269649625,0.01,7.47
-0.7142857142857143,-0.30612244897959184,-0.15549328440733734,-0.16362230023204644,0.01,5.23
-0.7142857142857143,-0.2653061224489796,-0.2056898601629134,-0.21360147557565323,0.01,3.85
-0.7142857142857143,-0.22448979591836735,-0.24469174523689027,-0.25644076872731614,0.01,4.8
-0.7142857142857143,-0.1836734693877551,-0.2722220962333139,-0.29214017968703493,0.02,7.32
-0.7142857142857143,-0.14285714285714285,-0.30094757173671394,-0.3206997084548107,0.02,6.56
-0.7142857142857143,-0.10204081632653061,-0.32257742346377644,-0.3421193550306421,0.02,6.06
-0.7142857142857143,-0.061224489795918366,-0.3369560128795218,-0.35639911941452973,0.02,5.77
-0.7142857142857143,-0.02040816326530612,-0.34017920908205357,-0.36353900160647346,0.02,6.87
