x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.7288135593220338,-0.01694915254237288,0.7287708664040616,0.7282224962663661,0.0,0.08
-0.7288135593220338,0.01694915254237288,0.7286354283034602,0.7282224962663661,0.0,0.06
-0.7288135593220338,0.05084745762711865,0.7294675524726582,0.7235073652103453,0.01,0.82
-0.7288135593220338,0.0847457627118644,0.7301811162863762,0.7141476790183234,0.02,2.2
-0.7288135593220338,0.11864406779661017,0.731520139635412,0.7002810744481351,0.03,4.27
-0.7288135593220338,0.15254237288135594,0.7334948947309006,0.6821055677757477,0.05,7.01
-0.7288135593220338,0.1864406779661017,0.7357724484460888,0.6598703481818027,0.08,10.32
-0.7288135593220338,0.22033898305084745,0.738307899347406,0.6338648789364065,0.1,14.15
-0.7288135593220338,0.2542372881355932,0.7366538181608406,0.6044072111422708,0.13,17.95
-0.6949152542372882,-0.2542372881355932,0.705525130135445,0.565259558779325,0.14,19.88
-0.6949152542372882,-0.22033898305084745,0.705099206739917,0.5958184060361179,0.11,15.5
-0.6949152542372882,-0.1864406779661017,0.7023747815783618,0.622866815248484,0.08,11.32
-0.6949152542372882,-0.15254237288135594,0.7003499470229657,0.6460483460417586,0.05,7.75
-0.6949152542372882,-0.11864406779661017,0.6983154018748547,0.6650359017912296,0.03,4.77
-0.6949152542372882,-0.0847457627118644,0.6968459144313729,0.6795459170002776,0.02,2.48
-0.6949152542372882,-0.05084745762711865,0.6953953947495932,0.6893517924121944,0.01,0.87
-0.6949152542372882,-0.01694915254237288,0.6951303813425206,0.6942953783713617,0.0,0.12
-0.6949152542372882,0.01694915254237288,0.6955432455678896,0.6942953783713617,0.0,0.18
-0.6949152542372882,0.05084745762711865,0.6954092054690072,0.6893517924121944,0.01,0.87
-0.6949152542372882,0.0847457627118644,0.69690633097408,0.6795459170002776,0.02,2.49
-0.6949152542372882,0.11864406779661017,0.6988075448188075,0.6650359017912296,0.03,4.83
-0.6949152542372882,0.15254237288135594,0.7000835984262934,0.6460483460417586,0.05,7.72
-0.6949152542372882,0.1864406779661017,0.702723551452537,0.622866815248484,0.08,11.36
-0.6949152542372882,0.22033898305084745,0.705242444550959,0.5958184060361179,0.11,15.52
-0.6949152542372882,0.2542372881355932,0.7053863788033777,0.565259558779325,0.14,19.87
-0.6610169491525424,-0.2542372881355932,0.6732157960675371,0.5256913974963778,0.15,21.91
-0.6610169491525424,-0.22033898305084745,0.6721262955162599,0.5574184350127313,0.11,17.07
-0.6610169491525424,-0.1864406779661017,0.6687794758598901,0.5855843313259302,0.08,12.44
-0.6610169491525424,-0.15254237288135594,0.666336323087935,0.6097884927423958,0.06,8.49
-0.6610169491525424,-0.11864406779661017,0.663931515159496,0.6296598073424587,0.03,5.16
-0.6610169491525424,-0.0847457627118644,0.6631265035096228,0.6448739549630735,0.02,2.75
-0.6610169491525424,-0.05084745762711865,0.6621686852883253,0.6551700921679232,0.01,1.06
-0.6610169491525424,-0.01694915254237288,0.6617523816787566,0.6603653085538512,0.0,0.21
-0.6610169491525424,0.01694915254237288,0.6612172634739253,0.6603653085538512,0.0,0.13
-0.6610169491525424,0.05084745762711865,0.6618251128159149,0.6551700921679232,0.01,1.01
-0.6610169491525424,0.0847457627118644,0.6624245629055381,0.6448739549630735,0.02,2.65
-0.6610169491525424,0.11864406779661017,0.6643409143053224,0.6296598073424587,0.03,5.22
-0.6610169491525424,0.15254237288135594,0.6664083910145867,0.6097884927423958,0.06,8.5
-0.6610169491525424,0.1864406779661017,0.6687237301185037,0.5855843313259302,0.08,12.43
-0.6610169491525424,0.22033898305084745,0.6720198358685515,0.5574184350127313,0.11,17.05
-0.6610169491525424,0.2542372881355932,0.6730227094231933,0.5256913974963778,0.15,21.89
-0.6271186440677966,-0.2542372881355932,0.6398320469687844,0.4856572253080967,0.15,24.1
-0.6271186440677966,-0.22033898305084745,0.6382930218483909,0.5186221564733661,0.12,18.75
