x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.7142857142857143,0.061224489795918366,4.80675980787992e9,7.925251177439854e9,3.11849136956e9,64.88
-0.7142857142857143,0.10204081632653061,4.771785837689122e9,7.835033465325087e9,3.06324762764e9,64.19
-0.7142857142857143,0.14285714285714285,4.632011082681849e9,7.698621940810039e9,3.06661085813e9,66.2
-0.7142857142857143,0.1836734693877551,4.541624117854696e9,7.514733754597717e9,2.97310963674e9,65.46
-0.7142857142857143,0.22448979591836735,4.414508691711809e9,7.28168895503847e9,2.86718026333e9,64.95
-0.7142857142857143,0.2653061224489796,4.1780166289277296e9,6.997434194494876e9,2.81941756557e9,67.48
-0.7142857142857143,0.30612244897959184,3.9750425016661634e9,6.659569674273125e9,2.68452717261e9,67.53
-0.7142857142857143,0.3469387755102041,3.7687637591259727e9,6.265378026901183e9,2.49661426778e9,66.24
-0.7142857142857143,0.3877551020408163,3.3845298762370462e9,5.811853934999794e9,2.42732405876e9,71.72
-0.7142857142857143,0.42857142857142855,3.104118802175043e9,5.295733464252212e9,2.19161466208e9,70.6
-0.7142857142857143,0.46938775510204084,2.709270688499095e9,4.713522306350654e9,2.00425161785e9,73.98
-0.7142857142857143,0.5102040816326531,2.3155296447063236e9,4.0615223533253274e9,1.74599270862e9,75.4
-0.7142857142857143,0.5510204081632653,1.9569327897910953e9,3.3358562331888185e9,1.3789234434e9,70.46
-0.7142857142857143,0.5918367346938775,1.5192058723798666e9,2.532489613921327e9,1.01328374154e9,66.7
-0.7142857142857143,0.6326530612244898,1.056224915446855e9,1.6472512225267231e9,5.9102630708e8,55.96
-0.7142857142857143,0.673469387755102,6.166968290593542e8,6.758506284636859e8,5.91537994e7,9.59
-0.673469387755102,-0.7142857142857143,6.384534204034777e8,6.758506284614164e8,3.739720806e7,5.86
-0.673469387755102,-0.673469387755102,1.0717995303275036e9,1.707041294837562e9,6.3524176451e8,59.27
-0.673469387755102,-0.6326530612244898,1.5528714816238475e9,2.648622220490914e9,1.09575073887e9,70.56
-0.673469387755102,-0.5918367346938775,1.998530811564125e9,3.5050743832504973e9,1.50654357169e9,75.38
-0.673469387755102,-0.5510204081632653,2.468265370844678e9,4.280782674568537e9,1.81251730372e9,73.43
-0.673469387755102,-0.5102040816326531,2.909029689157416e9,4.980020279201469e9,2.07099059004e9,71.19
-0.673469387755102,-0.46938775510204084,3.2752779640507727e9,5.606930697425958e9,2.33165273338e9,71.19
-0.673469387755102,-0.42857142857142855,3.576351961523755e9,6.165507213118302e9,2.58915525159e9,72.4
-0.673469387755102,-0.3877551020408163,3.921545989329982e9,6.6595696741821375e9,2.73802368485e9,69.82
-0.673469387755102,-0.3469387755102041,4.275011542572234e9,7.092738555504489e9,2.81772701293e9,65.91
-0.673469387755102,-0.30612244897959184,4.52519678462024e9,7.468406427165902e9,2.94320964255e9,65.04
-0.673469387755102,-0.2653061224489796,4.776424313102089e9,7.789707156609883e9,3.01328284351e9,63.09
-0.673469387755102,-0.22448979591836735,4.984611662137968e9,8.059483430106344e9,3.07487176797e9,61.69
-0.673469387755102,-0.1836734693877551,5.151402764595591e9,8.280253471908834e9,3.12885070731e9,60.74
-0.673469387755102,-0.14285714285714285,5.174473137122289e9,8.454178140139838e9,3.27970500302e9,63.38
-0.673469387755102,-0.10204081632653061,5.385325846924949e9,8.58302984267282e9,3.19770399575e9,59.38
-0.673469387755102,-0.061224489795918366,5.382356758567773e9,8.668164889452894e9,3.28580813089e9,61.05
-0.673469387755102,-0.02040816326530612,5.428128246369629e9,8.710500924861105e9,3.28237267849e9,60.47
-0.673469387755102,0.02040816326530612,5.508256510111895e9,8.710500924861105e9,3.20224441475e9,58.14
-0.673469387755102,0.061224489795918366,5.450448013016438e9,8.668164889452894e9,3.21771687644e9,59.04
-0.673469387755102,0.10204081632653061,5.324905740938429e9,8.58302984267282e9,3.25812410173e9,61.19
-0.673469387755102,0.14285714285714285,5.235135690609879e9,8.454178140139838e9,3.21904244953e9,61.49
-0.673469387755102,0.1836734693877551,5.10980215887856e9,8.280253471908834e9,3.17045131303e9,62.05
-0.673469387755102,0.22448979591836735,4.851766118191633e9,8.059483430106344e9,3.20771731191e9,66.11
-0.673469387755102,0.2653061224489796,4.775264507988144e9,7.789707156609883e9,3.01444264862e9,63.13
-0.673469387755102,0.30612244897959184,4.504844825784934e9,7.468406427165902e9,2.96356160138e9,65.79
-0.673469387755102,0.3469387755102041,4.261276719075133e9,7.092738555504489e9,2.83146183643e9,66.45
-0.673469387755102,0.3877551020408163,4.04243306954329e9,6.6595696741821375e9,2.61713660464e9,64.74
-0.673469387755102,0.42857142857142855,3.6404411122436943e9,6.165507213118302e9,2.52506610087e9,69.36
-0.673469387755102,0.46938775510204084,3.261469901932845e9,5.606930697425958e9,2.34546079549e9,71.91
-0.673469387755102,0.5102040816326531,2.8581181293010464e9,4.980020279201469e9,2.1219021499e9,74.24
-0.673469387755102,0.5510204081632653,2.407932465564788e9,4.280782674568537e9,1.872850209e9,77.78
-0.673469387755102,0.5918367346938775,2.0055882630463097e9,3.5050743832504973e9,1.4994861202e9,74.77
-0.673469387755102,0.6326530612244898,1.593640973968497e9,2.648622220490914e9,1.05498124652e9,66.2
-0.673469387755102,0.673469387755102,1.107052000204923e9,1.707041294837562e9,5.9998929463e8,54.2
-0.673469387755102,0.7142857142857143,6.266301008021587e8,6.758506284614164e8,4.922052766e7,7.85
-0.6326530612244898,-0.7551020408163265,5.681384015625134e8,5.524939533961799e8,1.564444817e7,2.75
-0.6326530612244898,-0.7142857142857143,1.0668478936116635e9,1.6472512225151277e9,5.804033289e8,54.4
-0.6326530612244898,-0.673469387755102,1.5943976645338416e9,2.6486222204810214e9,1.05422455595e9,66.12
-0.6326530612244898,-0.6326530612244898,2.0488703081501782e9,3.5612476692286606e9,1.51237736108e9,73.82
-0.6326530612244898,-0.5918367346938775,2.552485397238751e9,4.389693411310459e9,1.83720801407e9,71.98
-0.6326530612244898,-0.5510204081632653,3.0029180240017886e9,5.138437321050409e9,2.13551929705e9,71.11
-0.6326530612244898,-0.5102040816326531,3.399099690102358e9,5.811853934894531e9,2.41275424479e9,70.98
-0.6326530612244898,-0.46938775510204084,3.79625923615763e9,6.414196495797958e9,2.61793725964e9,68.96
-0.6326530612244898,-0.42857142857142855,4.152798737823855e9,6.949576121722572e9,2.7967773839e9,67.35
-0.6326530612244898,-0.3877551020408163,4.499067299527752e9,7.421937857380856e9,2.92287055785e9,64.97
-0.6326530612244898,-0.3469387755102041,4.81523929606922e9,7.835033465000697e9,3.01979416893e9,62.71
-0.6326530612244898,-0.30612244897959184,5.091483071986167e9,8.192390968387709e9,3.1009078964e9,60.9
-0.6326530612244898,-0.2653061224489796,5.24941561934973e9,8.497281196519144e9,3.24786557717e9,61.87
-0.6326530612244898,-0.22448979591836735,5.400172595400945e9,8.752681882072874e9,3.35250928667e9,62.08
-0.6326530612244898,-0.1836734693877551,5.699242669652729e9,8.96124024589244e9,3.26199757624e9,57.24
-0.6326530612244898,-0.14285714285714285,5.779094352423147e9,9.12523540837935e9,3.34614105596e9,57.9
-0.6326530612244898,-0.10204081632653061,5.759163628364205e9,9.24654235622104e9,3.48737872786e9,60.55
-0.6326530612244898,-0.061224489795918366,5.974822890113039e9,9.326599479235983e9,3.35177658912e9,56.1
-0.6326530612244898,-0.02040816326530612,5.998641542380335e9,9.366381791290249e9,3.36774024891e9,56.14
-0.6326530612244898,0.02040816326530612,5.896558191930316e9,9.366381791290249e9,3.46982359936e9,58.84
-0.6326530612244898,0.061224489795918366,5.943373258316695e9,9.326599479235983e9,3.38322622092e9,56.92
-0.6326530612244898,0.10204081632653061,5.826915440405035e9,9.24654235622104e9,3.41962691582e9,58.69
-0.6326530612244898,0.14285714285714285,5.685973640028681e9,9.12523540837935e9,3.43926176835e9,60.49
-0.6326530612244898,0.1836734693877551,5.599646385009609e9,8.96124024589244e9,3.36159386088e9,60.03
-0.6326530612244898,0.22448979591836735,5.473524636870939e9,8.752681882072874e9,3.2791572452e9,59.91
-0.6326530612244898,0.2653061224489796,5.309279081205699e9,8.497281196519144e9,3.18800211531e9,60.05
-0.6326530612244898,0.30612244897959184,5.053157119174779e9,8.192390968387709e9,3.13923384921e9,62.12
-0.6326530612244898,0.3469387755102041,4.785653440954967e9,7.835033465000697e9,3.04938002405e9,63.72
-0.6326530612244898,0.3877551020408163,4.500749881434843e9,7.421937857380856e9,2.92118797595e9,64.9
-0.6326530612244898,0.42857142857142855,4.1430018798125105e9,6.949576121722572e9,2.80657424191e9,67.74
-0.6326530612244898,0.46938775510204084,3.7859486060422544e9,6.414196495797958e9,2.62824788976e9,69.42
-0.6326530612244898,0.5102040816326531,3.420799092526966e9,5.811853934894531e9,2.39105484237e9,69.9
-0.6326530612244898,0.5510204081632653,2.9704288258014526e9,5.138437321050409e9,2.16800849525e9,72.99
-0.6326530612244898,0.5918367346938775,2.6209397754316816e9,4.389693411310459e9,1.76875363588e9,67.49
-0.6326530612244898,0.6326530612244898,2.0783679382128596e9,3.5612476692286606e9,1.48287973102e9,71.35
-0.6326530612244898,0.673469387755102,1.5474652312263656e9,2.6486222204810214e9,1.10115698925e9,71.16
-0.6326530612244898,0.7142857142857143,1.0520450901874511e9,1.6472512225151277e9,5.9520613233e8,56.58
-0.6326530612244898,0.7551020408163265,5.571263930384241e8,5.524939533961799e8,4.63243964e6,0.83
-0.5918367346938775,-0.7959183673469388,4.737579856248976e8,3.04509234512676e8,1.6924875111e8,35.72
-0.5918367346938775,-0.7551020408163265,9.651278684311626e8,1.4672247691070237e9,5.0209690068e8,52.02
-0.5918367346938775,-0.7142857142857143,1.5153367482136161e9,2.532489613893381e9,1.01715286568e9,67.12
-0.5918367346938775,-0.673469387755102,1.9989727077472177e9,3.505074383223002e9,1.50610167548e9,75.34
-0.5918367346938775,-0.6326530612244898,2.5630745484527125e9,4.389693411292152e9,1.82661886284e9,71.27
-0.5918367346938775,-0.5918367346938775,2.9919655434876714e9,5.190994306785572e9,2.1990287633e9,73.5
-0.5918367346938775,-0.5510204081632653,3.436151088190564e9,5.913545468334887e9,2.47739438014e9,72.1
-0.5918367346938775,-0.5102040816326531,3.8771250382847314e9,6.561821201606668e9,2.68469616332e9,69.24
